,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Order qty1,Unit,Code,Barcode,Supplier Name,Description,PC/CS,Price, TOTAL (PH) , PRICE(HK) ,Price/PH,Price/HK,Rate,Sell/Pc,COST,Total Cost,SELL,Gross Profit %,,TOTAL,, CBM , T_CBM , WGT , T_WGT ,,LS,NP,YL16,YL2A,MOS,MOS78,SK,ST,TKO,FC,LC,FL,MF,TY,SH,HH,CL,RHG,SHO,RG,,TSW,TP,TW,TKT,RL,HY,,MF28,SKM,WHS
21,35.00,CASE,REG89,4801688108318,Al-noor,REGENT TEMPURA 25/100G,25,462.75,"  16,196.25 ",  64.09 ,18.51,2.62,7.06,1,2.62,"  2,294.09 ",6,1.29,,"  5,250.00 ",,  0.086 ,  3.01 ,  3.40 ,  119.00 ,,2.00,2.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,2.00,1.00,0.50,0.50,0.50,1.00,,1.00,0.50,
22,37.00,CASE,CHI02,4800016643095,Al-noor,CHIPPY SNACK BARBECUE 50/110G,50,"1,146.10","  42,405.70 ",  158.74 ,22.92,3.25,7.06,1,3.25,"  6,006.47 ",6,0.85,,"  11,100.00 ",,  0.066 ,  2.44 ,  6.40 ,  236.80 ,,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,0.50,0.50,0.50,0.50,,0.50,0.50,
23,26.00,CASE,CHI13,4800016641503,Al-noor,CHIPPY SNACK CHILI & CHEESE 50/110G,50,"1,146.10","  29,798.60 ",  158.74 ,22.92,3.25,7.06,1,3.25,"  4,220.76 ",6,0.85,,"  7,800.00 ",,  0.067 ,  1.74 ,  6.40 ,  166.40 ,,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,0.50,0.50,0.50,0.50,,0.50,0.50,
24,21.00,CASE,DEL08,4800024037480,Al-noor,DEL MONTE FIESTA FRUIT COCKTAIL 24/836G,24,"2,024.60","  42,516.60 ",  280.42 ,84.36,11.95,7.06,1,11.95,"  6,022.18 ",19,0.59,,"  9,576.00 ",,  0.067 ,  1.41 ,  6.40 ,  134.40 ,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.50,0.50,1.00,1.00,0.50,0.50,1.00,1.00,0.50,,0.50,0.50,0.50,0.50,0.50,0.50,,0.50,0.00,
25,37.00,CASE,LAL03,4800449555514,Al-noor,LALA FISH CRACKERS 24/100G,24,743.75,"  27,518.75 ",  103.01 ,30.99,4.39,7.06,1,4.39,"  3,897.84 ",7,0.59,,"  6,216.00 ",,  0.068 ,  2.52 ,  2.80 ,  103.60 ,,2.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,0.50,1.00,1.00,1.00,,1.00,0.50,
26,38.00,CASE,LAL10,4800449556450,Al-noor,LALA FISH CRACKERS SALT & VINEGAR 24/100G,24,743.75,"  28,262.50 ",  103.01 ,30.99,4.39,7.06,1,4.39,"  4,003.19 ",7,0.59,,"  6,384.00 ",,  0.068 ,  2.58 ,  2.80 ,  106.40 ,,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,1.00,1.00,1.00,1.00,,0.50,0.50,
27,36.00,CASE,LAL15,4800449556443,Al-noor,LALA FISH CRACKERS SWEET CHILI 24/100G,24,743.75,"  26,775.00 ",  103.01 ,30.99,4.39,7.06,1,4.39,"  3,792.49 ",7,0.59,,"  6,048.00 ",,  0.068 ,  2.45 ,  2.80 ,  100.80 ,,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,0.50,0.50,0.50,0.50,,0.50,0.50,
28,31.00,CASE,GRA79,4800016138546,Al-noor,GRANNY GOOSE TORTILLOS CHEESE 50/100G,50,"1,209.65","  37,499.15 ",  167.54 ,24.19,3.43,7.06,1,3.43,"  5,311.49 ",6,0.75,,"  9,300.00 ",,  0.078 ,  2.42 ,  7.10 ,  220.10 ,,1.00,2.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,0.50,1.00,,1.00,1.00,0.50,1.00,0.50,0.50,,0.50,0.50,
29,42.00,CASE,PEE02,4800523223179,Al-noor,PEEWEE SNACK BBQ 25/95G,25,577.7,"  24,263.40 ",  80.01 ,23.11,3.27,7.06,1,3.27,"  3,436.74 ",6,0.83,,"  6,300.00 ",,  0.076 ,  3.19 ,  3.40 ,  142.80 ,,4.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,
30,32.00,CASE,TOM01,4800523440316,Al-noor,TOMI SNACK SWEET CORN 50/110G,50,"1,158.45","  37,070.40 ",  160.45 ,23.17,3.28,7.06,1,3.28,"  5,250.76 ",6,0.83,,"  9,600.00 ",,  0.076 ,  2.43 ,  6.30 ,  201.60 ,,2.00,2.00,2.00,2.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,0.50,1.00,1.00,0.50,,0.50,0.50,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"  942,399.65 ",,,,,,,"  133,484.37 ",,,,"  237,600.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
